nSub,nARC,thARC,T_mean,T_SD
1.50 ,2.00 ,0.60 ,0.8765766717229420 ,0.0192447690629778 
1.50 ,2.00 ,0.80 ,0.8396342321939770 ,0.0216312191099870 
1.50 ,2.00 ,1.00 ,0.8133722949284120 ,0.0176017542290661 
1.50 ,2.25 ,0.00 ,0.9602621926736870 ,0.0001400026390185 
1.50 ,2.25 ,0.20 ,0.9352874063890730 ,0.0079702103253267 
1.50 ,2.25 ,0.40 ,0.8750763630651780 ,0.0231255991621099 
1.50 ,2.25 ,0.60 ,0.8032910906584400 ,0.0311798115632867 
1.50 ,2.25 ,0.80 ,0.7493359155255250 ,0.0290726947039275 
1.50 ,2.25 ,1.00 ,0.7205372867667180 ,0.0170240370050153 
1.50 ,2.50 ,0.00 ,0.9602621926806210 ,0.0001400026383770 
1.50 ,2.50 ,0.20 ,0.9152664349474240 ,0.0135869809839061 
1.50 ,2.50 ,0.40 ,0.8139874611654260 ,0.0336299871314942 
1.50 ,2.50 ,0.60 ,0.7188059632107610 ,0.0398937895372564 
1.50 ,2.50 ,0.80 ,0.6575076219048910 ,0.0296309659744567 
1.50 ,2.50 ,1.00 ,0.6377125340471950 ,0.0121122974414271 
1.50 ,2.75 ,0.00 ,0.9602621926345780 ,0.0001400026322875 
1.50 ,2.75 ,0.20 ,0.8880846276685640 ,0.0207154691701577 
1.50 ,2.75 ,0.40 ,0.7455733930423190 ,0.0440003326662113 
1.50 ,2.75 ,0.60 ,0.6323007493061380 ,0.0435449642048965 
1.50 ,2.75 ,0.80 ,0.5744330923676190 ,0.0242655698300659 
1.50 ,2.75 ,1.00 ,0.5732391207136700 ,0.0221632378699804 
1.50 ,3.00 ,0.00 ,0.9602621926474240 ,0.0001400026348437 
1.50 ,3.00 ,0.20 ,0.8536361369633740 ,0.0289758799860984 
1.50 ,3.00 ,0.40 ,0.6717799177587520 ,0.0516381932645299 
1.50 ,3.00 ,0.60 ,0.5509327777310310 ,0.0422083681738210 
