nSub,nARC,thARC,T_mean,T_SD
1.25,1.25,0.4,0.988242578,0.00028739
1.25,1.25,0.6,0.988832744,0.000520406
1.25,1.25,0.8,0.98993555,0.000900382
1.25,1.25,1,0.987654628,1.13E-06
1.25,1.5,0,0.987770466,6.73E-05
1.25,1.5,0.2,0.985408778,0.000933147
1.25,1.5,0.4,0.978628198,0.003180336
1.25,1.5,0.6,0.968908253,0.006137846
1.25,1.5,0.8,0.954893403,0.007975973
1.25,1.5,1,0.942812757,0.009316098
1.25,1.75,0,0.987770466,6.73E-05
1.25,1.75,0.2,0.978896811,0.0029324
1.25,1.75,0.4,0.954904433,0.009861025
1.25,1.75,0.6,0.923035389,0.017386399
1.25,1.75,0.8,0.88656383,0.020955276
1.25,1.75,1,0.857925306,0.020654955
1.25,2,0,0.987770466,6.73E-05
1.25,2,0.2,0.966906237,0.006496886
1.25,2,0.4,0.914394994,0.020127343
1.25,2,0.6,0.849166328,0.030171977
1.25,2,0.8,0.792808781,0.032289751
1.25,2,1,0.754190503,0.025240799
1.25,2.25,0,0.987770466,6.73E-05
1.25,2.25,0.2,0.948072164,0.011855471
1.25,2.25,0.4,0.857207327,0.032495358
1.25,2.25,0.6,0.760569137,0.041762542
1.25,2.25,0.8,0.690264741,0.036938365
1.25,2.25,1,0.653813198,0.020832262
1.25,2.5,0,0.987770466,6.73E-05
1.25,2.5,0.2,0.921400559,0.0189958
1.25,2.5,0.4,0.78657296,0.04462306
1.25,2.5,0.6,0.665688027,0.048200757
1.25,2.5,0.8,0.593358172,0.034072257
1.25,2.5,1,0.570512223,0.013628808
1.25,2.75,0,0.987770466,6.73E-05
1.25,2.75,0.2,0.886497093,0.027597887
1.25,2.75,0.4,0.707806117,0.054222934
1.25,2.75,0.6,0.574111259,0.048778648
1.25,2.75,0.8,0.510339549,0.02605453
1.25,2.75,1,0.509071797,0.023918751
1.25,3,0,0.987770466,6.73E-05
1.25,3,0.2,0.843675504,0.037040434
1.25,3,0.4,0.626830559,0.059930804
1.25,3,0.6,0.491972239,0.044667115
1.25,3,0.8,0.444098197,0.016557792
1.25,3,1,0.471015209,0.048435654
1.5,1,0,0.960262193,0.000140003
1.5,1,0.2,0.960495798,0.000245225
1.5,1,0.4,0.960875615,0.000402187
1.5,1,0.6,0.961498369,0.000630804
1.5,1,0.8,0.960000392,7.26E-07
1.5,1,1,0.959999874,2.34E-07
1.5,1.25,0,0.960262193,0.000140003
1.5,1.25,0.2,0.961484505,0.00016298
1.5,1.25,0.4,0.964728371,0.000744172
1.5,1.25,0.6,0.96996298,0.001700874
1.5,1.25,0.8,0.973015683,0.003554996
1.5,1.25,1,0.97884747,0.004726022
1.5,1.5,0,0.960262193,0.000140003
1.5,1.5,0.2,0.960656807,0.000314418
1.5,1.5,0.4,0.961510369,0.000635421
1.5,1.5,0.6,0.959999917,1.45E-07
1.5,1.5,0.8,0.960000391,1.07E-06
1.5,1.5,1,0.96000227,2.82E-05
1.5,1.75,0,0.960262193,0.000140003
1.5,1.75,0.2,0.956853665,0.001502765
1.5,1.75,0.4,0.947238288,0.00483487
1.5,1.75,0.6,0.93021669,0.007667598
1.5,1.75,0.8,0.914133553,0.010051913
1.5,1.75,1,0.900148552,0.010321296
1.5,2,0,0.960262193,0.000140003
1.5,2,0.2,0.948814616,0.003975589
1.5,2,0.4,0.918834092,0.012603874
1.5,2,0.6,0.876576672,0.019244769
1.5,2,0.8,0.839634232,0.021631219
1.5,2,1,0.813372295,0.017601754
1.5,2.25,0,0.960262193,0.000140003
1.5,2.25,0.2,0.935287406,0.00797021
1.5,2.25,0.4,0.875076363,0.023125599
1.5,2.25,0.6,0.803291091,0.031179812
1.5,2.25,0.8,0.749335916,0.029072695
1.5,2.25,1,0.720537287,0.017024037
1.5,2.5,0,0.960262193,0.000140003
1.5,2.5,0.2,0.915266435,0.013586981
1.5,2.5,0.4,0.813987461,0.033629987
1.5,2.5,0.6,0.718805963,0.03989379
1.5,2.5,0.8,0.657507622,0.029630966
1.5,2.5,1,0.637712534,0.012112297
1.5,2.75,0,0.960262193,0.000140003
1.5,2.75,0.2,0.888084628,0.020715469
1.5,2.75,0.4,0.745573393,0.044000333
1.5,2.75,0.6,0.632300749,0.043544964
1.5,2.75,0.8,0.574433092,0.02426557
1.5,2.75,1,0.573239121,0.022163238
1.5,3,0,0.960262193,0.000140003
1.5,3,0.2,0.853636137,0.02897588
1.5,3,0.4,0.671779918,0.051638193
1.5,3,0.6,0.550932778,0.042208368
1.5,3,0.8,0.505406645,0.016264973
1.5,3,1,0.530779744,0.045951537
1.75,1,0,0.926168254,0.000268068
1.75,1,0.2,0.926591317,0.000437467
1.75,1,0.4,0.927269865,0.000681843
1.75,1,0.6,0.92561941,9.81E-07
1.75,1,0.8,0.925620421,1.43E-06
1.75,1,1,0.925619445,8.43E-07
1.75,1.25,0,0.926168254,0.000268068
1.75,1.25,0.2,0.928310707,0.000309375
1.75,1.25,0.4,0.933975503,0.001379863
1.75,1.25,0.6,0.939196176,0.003953505
1.75,1.25,0.8,0.948513391,0.006312528
1.75,1.25,1,0.958949804,0.00845304
1.75,1.5,0,0.926168254,0.000268068
1.75,1.5,0.2,0.928786093,0.000367658
1.75,1.5,0.4,0.933043693,0.002207253
1.75,1.5,0.6,0.941427454,0.004453736
1.75,1.5,0.8,0.951550508,0.006673116
1.75,1.5,1,0.961967107,0.008069766
1.75,1.75,0,0.926168254,0.000268068
1.75,1.75,0.2,0.927076258,0.000613149
1.75,1.75,0.4,0.925619144,4.64E-07
1.75,1.75,0.6,0.925620413,1.71E-06
1.75,1.75,0.8,0.925622059,7.73E-05
1.75,1.75,1,0.925657414,0.000126055
1.75,2,0,0.926168254,0.000268068
1.75,2,0.2,0.922092363,0.002154729
1.75,2,0.4,0.906478569,0.005329263
1.75,2,0.6,0.888089258,0.009073497
1.75,2,0.8,0.870246774,0.010750868
1.75,2,1,0.857236417,0.00922378
1.75,2.25,0,0.926168254,0.000268068
1.75,2.25,0.2,0.912791087,0.005022382
1.75,2.25,0.4,0.873749632,0.013609019
1.75,2.25,0.6,0.830126866,0.020307072
1.75,2.25,0.8,0.794139619,0.019972654
1.75,2.25,1,0.774310694,0.011988214
1.75,2.5,0,0.926168254,0.000268068
1.75,2.5,0.2,0.898146801,0.009328265
1.75,2.5,0.4,0.827524353,0.023765525
1.75,2.5,0.6,0.757631091,0.030270506
1.75,2.5,0.8,0.710189577,0.023656246
1.75,2.5,1,0.694474629,0.009880198
1.75,2.75,0,0.926168254,0.000268068
1.75,2.75,0.2,0.877429983,0.015076212
1.75,2.75,0.4,0.769990056,0.034099107
1.75,2.75,0.6,0.678658338,0.036395157
1.75,2.75,0.8,0.629630155,0.021167257
1.75,2.75,1,0.628849447,0.018691983
1.75,3,0,0.926168254,0.000268068
1.75,3,0.2,0.85022463,0.022071374
1.75,3,0.4,0.7048711,0.042875169
1.75,3,0.6,0.600649834,0.037753553
1.75,3,0.8,0.559546376,0.014984054
1.75,3,1,0.582331097,0.041105953
2,1,0,0.8899556,0.000470766
2,1,0.2,0.89069779,0.00072795
2,1,0.4,0.888888508,6.21E-07
2,1,0.6,0.888888112,1.79E-06
2,1,0.8,0.888890457,3.48E-06
2,1,1,0.888891586,2.80E-05
2,1.25,0,0.889955599,0.000470766
2,1.25,0.2,0.892969453,0.000517453
2,1.25,0.4,0.897116271,0.002486007
2,1.25,0.6,0.90679488,0.005240935
2,1.25,0.8,0.919205138,0.008404967
2,1.25,1,0.933220657,0.011345346
2,1.5,0,0.889955599,0.000470766
2,1.5,0.2,0.894472287,0.000691296
2,1.5,0.4,0.901884934,0.003890608
2,1.5,0.6,0.916779175,0.007965023
2,1.5,0.8,0.935073881,0.012078102
2,1.5,1,0.954279634,0.014969905
2,1.75,0,0.889955599,0.000470766
2,1.75,0.2,0.891823911,0.000896406
2,1.75,0.4,0.900140593,0.003305275
2,1.75,0.6,0.912393483,0.006355072
2,1.75,0.8,0.926329415,0.008739193
2,1.75,1,0.939393152,0.009051718
2,2,0,0.8899556,0.000470766
2,2,0.2,0.888889886,1.96E-06
2,2,0.4,0.888889401,5.17E-07
2,2,0.6,0.888895878,7.03E-05
2,2,0.8,0.888955569,0.000251885
2,2,1,0.88905308,0.000465995
2,2.25,0,0.8899556,0.000470766
2,2.25,0.2,0.882483864,0.001919477
2,2.25,0.4,0.865889371,0.006218139
2,2.25,0.6,0.84535817,0.009889436
2,2.25,0.8,0.827711044,0.010267474
2,2.25,1,0.817621931,0.006492395
2,2.5,0,0.889955599,0.000470766
2,2.5,0.2,0.871714101,0.005048594
2,2.5,0.4,0.830338369,0.01480487
2,2.5,0.6,0.78531147,0.020243517
2,2.5,0.8,0.753251704,0.016610402
2,2.5,1,0.742371137,0.007103782
2,2.75,0,0.8899556,0.000470766
2,2.75,0.2,0.855818935,0.009484766
2,2.75,0.4,0.783226027,0.024465328
2,2.75,0.6,0.715289936,0.02800536
2,2.75,0.8,0.677028913,0.01699668
2,2.75,1,0.676466887,0.01466638
2,3,0,0.8899556,0.000470766
2,3,0.2,0.83429568,0.015167002
2,3,0.4,0.727159471,0.033640656
2,3,0.6,0.642464617,0.031886909
2,3,0.8,0.60758727,0.013083932
2,3,1,0.626730388,
2.25,1,0,0.854026772,0.000772749
2.25,1,0.2,0.852070804,4.82E-07
2.25,1,0.4,0.852070567,8.63E-07
2.25,1,0.6,0.852071976,2.74E-06
2.25,1,0.8,0.85207509,2.92E-05
2.25,1,1,0.852079699,8.40E-05
2.25,1.25,0,0.854026772,0.000772749
2.25,1.25,0.2,0.854531711,0.000757051
2.25,1.25,0.4,0.861742587,0.002930175
2.25,1.25,0.6,0.873174448,0.006170311
2.25,1.25,0.8,0.887924601,0.009950079
2.25,1.25,1,0.904717492,0.01353002
2.25,1.5,0,0.854026772,0.000772749
2.25,1.5,0.2,0.856458792,0.001348305
2.25,1.5,0.4,0.869231954,0.005167433
2.25,1.5,0.6,0.889149261,0.010648868
2.25,1.5,0.8,0.914020909,0.016422601
2.25,1.5,1,0.940542275,0.020736605
2.25,1.75,0,0.854026772,0.000772749
2.25,1.75,0.2,0.857200543,0.001571617
2.25,1.75,0.4,0.871898581,0.00588264
2.25,1.75,0.6,0.894009628,0.011540783
2.25,1.75,0.8,0.919853439,0.016355345
2.25,1.75,1,0.944198435,0.017798897
2.25,2,0,0.854026772,0.000772749
2.25,2,0.2,0.856008518,0.00120084
2.25,2,0.4,0.866975048,0.004281013
2.25,2,0.6,0.882509379,0.007743889
2.25,2,0.8,0.898904552,0.009503578
2.25,2,1,0.911540541,0.008147984
2.25,2.25,0,0.854026772,0.000772749
2.25,2.25,0.2,0.852071074,1.90E-07
